item_id,datetime,month,region,mgrs_tile,cloud_cover_pct,B02_blue,B03_green,B04_red,B08_nir,B11_swir16,B12_swir22,NDVI,NDBI,NDMI,BSI
S2A_35SPV_20210728_0_L2A,2021-07-28 09:00:30.188000+00:00,2021-07,Rhodes,MGRS-35SPV,0.0,0.048818,0.033704,0.028585,0.026951,0.026263,0.026473,-0.0294,-0.0129,0.0129,-0.1602
S2A_35SPV_20210628_1_L2A,2021-06-28 09:00:28.489000+00:00,2021-06,Rhodes,MGRS-35SPV,0.01,0.057672,0.040738,0.034959,0.032888,0.029483,0.027007,-0.0305,-0.0546,0.0546,-0.1685
S2A_35SNA_20210529_1_L2A,2021-05-29 09:00:16.275000+00:00,2021-05,Rhodes,MGRS-35SNA,0.02,0.050396,0.061702,0.067438,0.142801,0.13221,0.093345,0.3585,-0.0385,0.0385,0.0164
S2A_35SNV_20210422_0_L2A,2021-04-22 09:10:21.476000+00:00,2021-04,Rhodes,MGRS-35SNV,1.28,0.058041,0.06827,0.068627,0.158609,0.126153,0.090734,0.396,-0.114,0.114,-0.0532
S2B_35SPV_20200926_0_L2A,2020-09-26 09:00:29.556000+00:00,2020-09,Rhodes,MGRS-35SPV,0.0,0.037781,0.023369,0.017912,0.015376,0.013673,0.012283,-0.0762,-0.0586,0.0586,-0.2546
S2B_35SPV_20200827_0_L2A,2020-08-27 09:00:30.187000+00:00,2020-08,Rhodes,MGRS-35SPV,0.0,0.039993,0.020941,0.01426,0.012153,0.010211,0.008443,-0.0798,-0.0868,0.0868,-0.3612
S2B_35SNA_20200728_1_L2A,2020-07-28 09:00:17.994000+00:00,2020-07,Rhodes,MGRS-35SNA,0.01,0.038874,0.045773,0.052403,0.120043,0.121796,0.086627,0.3922,0.0072,-0.0072,0.0459
S2B_35SPV_20200628_0_L2A,2020-06-28 09:00:29.259000+00:00,2020-06,Rhodes,MGRS-35SPV,0.0,0.059659,0.041799,0.036419,0.035163,0.03393,0.031905,-0.0175,-0.0178,0.0178,-0.1482
S2B_35SPV_20200529_0_L2A,2020-05-29 09:00:28.148000+00:00,2020-05,Rhodes,MGRS-35SPV,0.32,0.066833,0.049405,0.045067,0.045605,0.044643,0.03918,0.0059,-0.0107,0.0107,-0.1124
S2B_35SNV_20200429_0_L2A,2020-04-29 09:00:25.763000+00:00,2020-04,Rhodes,MGRS-35SNV,1.1,0.058076,0.053446,0.049708,0.104646,0.08835,0.065012,0.3559,-0.0844,0.0844,-0.082
S2A_35SPV_20190927_0_L2A,2019-09-27 09:00:27.984000+00:00,2019-09,Rhodes,MGRS-35SPV,0.01,0.016591,0.002377,0.000112,0.000109,0.000252,0.000471,-0.0128,0.3952,-0.3952,-0.9573
S2A_35SPV_20190828_1_L2A,2019-08-28 09:00:29.658000+00:00,2019-08,Rhodes,MGRS-35SPV,0.16,0.05103,0.032042,0.022128,0.016024,0.009704,0.007249,-0.16,-0.2456,0.2456,-0.3562
S2A_35SPV_20190729_0_L2A,2019-07-29 09:00:31.604000+00:00,2019-07,Rhodes,MGRS-35SPV,0.0,0.045381,0.030606,0.025172,0.023215,0.022339,0.020827,-0.0404,-0.0192,0.0192,-0.1816
S2A_35SPA_20190629_2_L2A,2019-06-29 09:00:16.786000+00:00,2019-06,Rhodes,MGRS-35SPA,0.0,0.055779,0.050847,0.051597,0.076949,0.077102,0.059013,0.1972,0.001,-0.001,-0.0154
S2B_35SPV_20190525_0_L2A,2019-05-25 09:00:35.404000+00:00,2019-05,Rhodes,MGRS-35SPV,0.0,0.055554,0.037764,0.033107,0.032852,0.032194,0.030737,-0.0039,-0.0101,0.0101,-0.1503
S2A_35SPV_20190430_0_L2A,2019-04-30 09:00:30.493000+00:00,2019-04,Rhodes,MGRS-35SPV,0.03,0.031932,0.018248,0.013377,0.013583,0.013249,0.011549,0.0076,-0.0124,0.0124,-0.2618
S2A_35SNA_20180925_1_L2A,2018-09-25 09:10:06.781000+00:00,2018-09,Rhodes,MGRS-35SNA,0.27,0.026523,0.027589,0.030945,0.061806,0.068875,0.050535,0.3327,0.0541,-0.0541,0.0611
S2B_35SPV_20180828_0_L2A,2018-08-28 08:50:30.865000+00:00,2018-08,Rhodes,MGRS-35SPV,0.64,0.037288,0.017534,0.009817,0.006604,0.005117,0.004201,-0.1957,-0.1268,0.1268,-0.4923
S2B_35SPV_20180729_0_L2A,2018-07-29 08:52:35.922000+00:00,2018-07,Rhodes,MGRS-35SPV,0.0,0.05035,0.031342,0.024828,0.022593,0.02228,0.021402,-0.0471,-0.007,0.007,-0.2152
S2A_35SPV_20180624_1_L2A,2018-06-24 09:00:26.907000+00:00,2018-06,Rhodes,MGRS-35SPV,0.01,0.055061,0.03713,0.030133,0.026505,0.023098,0.021371,-0.064,-0.0687,0.0687,-0.2102
S2B_35SPV_20180530_0_L2A,2018-05-30 08:48:30.597000+00:00,2018-05,Rhodes,MGRS-35SPV,1.72,0.064415,0.0454,0.039599,0.037067,0.034558,0.030193,-0.033,-0.035,0.035,-0.1556
S2A_35SPV_20180425_3_L2A,2018-04-25 09:00:30.295000+00:00,2018-04,Rhodes,MGRS-35SPV,0.0,0.044295,0.025053,0.016196,0.011695,0.007011,0.005889,-0.1614,-0.2504,0.2504,-0.4139
S2B_35SPV_20170912_0_L2A,2017-09-12 08:55:08.667000+00:00,2017-09,Rhodes,MGRS-35SPV,0.0,0.045359,0.031863,0.026221,0.023732,0.019646,0.015434,-0.0498,-0.0942,0.0942,-0.202
S2B_35SPV_20170813_0_L2A,2017-08-13 08:53:53.530000+00:00,2017-08,Rhodes,MGRS-35SPV,0.0,0.051105,0.033334,0.02699,0.024936,0.021643,0.019643,-0.0396,-0.0707,0.0707,-0.2198
S2B_35SPV_20170724_0_L2A,2017-07-24 08:53:59.144000+00:00,2017-07,Rhodes,MGRS-35SPV,0.0,0.040341,0.020702,0.013693,0.01208,0.010777,0.010953,-0.0626,-0.057,0.057,-0.3635
S2C_34SGG_20250924_0_L2A,2025-09-24 09:30:11.792000+00:00,2025-09,Attica,MGRS-34SGG,0.0,0.005388,0.007277,0.007558,0.018445,0.018737,0.013277,0.4187,0.0079,-0.0079,0.0491
S2B_34SGH_20250830_0_L2A,2025-08-30 09:29:47.031000+00:00,2025-08,Attica,MGRS-34SGH,0.0,0.065466,0.091232,0.116945,0.222386,0.24025,0.171174,0.3107,0.0386,-0.0386,0.1075
S2B_34SGG_20250728_0_L2A,2025-07-28 09:20:06.824000+00:00,2025-07,Attica,MGRS-34SGG,0.01,0.06791,0.066193,0.070335,0.101602,0.108019,0.085195,0.1819,0.0306,-0.0306,0.0254
S2B_35SKB_20250628_0_L2A,2025-06-28 09:20:07.289000+00:00,2025-06,Attica,MGRS-35SKB,0.43,0.087891,0.08712,0.094587,0.129019,0.146302,0.117125,0.154,0.0628,-0.0628,0.0524
